Site instance,Site name,Tree,Country,County,Other info,Grid reference,Map link,Longitude,Latitude,Elevation (ft),Station No.,Normal Month Values,-999 Month Values,Totals,Start Month,End Month,Active Years,% Complete,% Active Complete,Min Monthly Value,Min Month Date,Max Monthly Value,Max Month Date,Min Total,Min Total Year,Max Total,Max Total Year,Avg Total,10th pctile Total,50th pctile Total,90th pctile Total,Decades Graphic,Yearly Graphic,1800-1809,1810-1819,1820-1829,1830-1839,1840-1849,1850-1859,1860-1869,1870-1879,1880-1889,1890-1899,1900-1909,1910-1919,1920-1930,1931-1940,1941-1950,1951-1960,Sheet 1,Sheet 2,Sheet 3,Sheet 4
BYFLEET-RECTORY,BYFLEET-RECTORY,LEFTOVER,England,Surrey,"1 sheet : observer Money : NGR is the rectory. Altitudes match. May to Oct and Dec 1917 are duplicates of WISLEY-WEST-HALL-GARDENS, no copying acknowledged on any record but Byfleet Rectory is much shorter and ends in 1917 and is most likely to have copied readings.",TQ 060604,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.333&lon=-0.48&layers=6&b=1&marker=51.333,-0.48",-0.480,51.333,50,,60,0,5,1913/01,1917/12,5,100.0,100.0,0.52,1914/01,7.87,1914/12,21.16,1913,36.21,1915,29.4,23.5,27.9,35.7,[.|..........|.*....],[#####],-,-,-,-,-,-,-,-,-,-,-,[...#####..],-,-,-,-,TYRain_1910-1919_2B_pt2-056,-,-,-
BYGATE,BYGATE,LEFTOVER,England,Northumberland,1 sheet,NT 853086,"https://maps.nls.uk/geo/explore/#zoom=16&lat=55.371&lon=-2.233&layers=193&b=1&marker=55.371,-2.233",-2.233,55.371,,[3590/4/9],7,0,0,1952/06,1952/12,1,100.0,58.3,1.28,1952/07,3.69,1952/10,,,,,,,,,[.|..........|.....*],[7],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[.7........],TYRain_1951-1960_22_pt1-257,-,-,-
BYRKLEY-LODGE-GARDENS,BYRKLEY-LODGE-GARDENS,LEFTOVER,England,Staffordshire,1 sheet : NGR is what looks to have been the walled garden to Byrkley Lodge. Altitudes match as does relationship to church. Byrkely Lodge itself is 800m W and is now St George's Park Football Centre,SK 172233,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.807&lon=-1.746&layers=193&b=1&marker=52.807,-1.746",-1.746,52.807,420,[2361/1],12,0,1,1951/01,1951/12,1,100.0,100.0,0.61,1951/10,8.6,1951/08,38.49,1951,38.49,1951,38.5,38.5,38.5,38.5,[.|..........|.....*],[#],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[#.........],TYRain_1951-1960_14_pt1-078,-,-,-
CADDENHAM-GOSBECK-HALL-FARM,CADDENHAM-GOSBECK-HALL-FARM,LEFTOVER,England,Suffolk,2 sheets,TM 154557,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.158&lon=1.148&layers=10&b=1&marker=52.158,1.148",1.148,52.158,,,45,0,3,1928/01,1931/09,4,100.0,93.8,0.19,1929/03,4.92,1930/09,19.5,1929,27.19,1930,23.5,20.4,23.8,26.5,[.|..........|..**..],[###9],-,-,-,-,-,-,-,-,-,-,-,-,[........###],[9.........],-,-,TYRain_1920-1930_09_pt1-029,TYRain_1931-1940_09_pt1-039,-,-
CAERLEON-COLDRA,CAERLEON-COLDRA,LEFTOVER,Wales,Monmouthshire,1 sheet,-,,,,,,22,0,1,1887/03,1888/12,2,100.0,91.7,0.84,1887/06,7.48,1888/11,37.81,1888,37.81,1888,37.8,37.8,37.8,37.8,[.|........*.|......],[##],-,-,-,-,-,-,-,-,[.......##.],-,-,-,-,-,-,-,TYRain_1880-1889_13_pt1-009,-,-,-
CAERLEON-CWMBRAN-VICARAGE,CAERLEON-CWMBRAN-VICARAGE,LEFTOVER,Wales,Monmouthshire,2 sheets,-,,,,,,36,0,3,1869/01,1871/12,3,100.0,100.0,0.27,1870/04,9.32,1870/10,41.55,1870,50.85,1871,47.5,43.2,50.0,50.7,[.|......**..|......],[###],-,-,-,-,-,-,[.........#],[##........],-,-,-,-,-,-,-,-,TYRain_1860-1869_06_pt2-007,TYRain_1870-1879_10_pt1-012,-,-
CAERPHILLY-RUPERRA-CASTLE-GARDENS,CAERPHILLY-RUPERRA-CASTLE-GARDENS,LEFTOVER,Wales,Glamorgan,1 sheet,ST 220862,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.569&lon=-3.127&layers=6&b=1&marker=51.569,-3.127",-3.127,51.569,,,24,0,2,1915/01,1917/12,2,66.7,100.0,1.13,1915/06,10.53,1915/12,43.5,1917,46.99,1915,45.2,43.8,45.2,46.6,[.|..........|.*....],[#.#],-,-,-,-,-,-,-,-,-,-,-,[.....#.#..],-,-,-,-,TYRain_1910-1919_23_pt1-093,-,-,-
CAERPHILLY-SECONDARY-SCHOOL,CAERPHILLY-SECONDARY-SCHOOL,LEFTOVER,Wales,Glamorgan,2 sheets : observer Rees,ST 152869,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.575&lon=-3.225&layers=6&b=1&marker=51.575,-3.225",-3.225,51.575,,,31,0,2,1919/01,1923/12,4,51.7,64.6,0.06,1921/02,11.32,1923/02,45.57,1922,57.1,1923,51.3,46.7,51.3,55.9,[.|..........|.**...],[1.6##],-,-,-,-,-,-,-,-,-,-,-,[.........1],[.6##.......],-,-,-,TYRain_1910-1919_23_pt1-094,TYRain_1920-1930_26_pt1-091,-,-
CAERPHILLY-THE-COURT-HOUSE,CAERPHILLY-THE-COURT-HOUSE,LEFTOVER,Wales,Glamorgan,1 sheet,ST 155869,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.575&lon=-3.221&layers=6&b=1&marker=51.575,-3.221",-3.221,51.575,,,30,0,2,1904/01,1907/11,3,63.8,83.3,0.97,1906/07,9.65,1906/01,48.23,1906,51.63,1904,49.9,48.6,49.9,51.3,[.|..........|*.....],[#.#6],-,-,-,-,-,-,-,-,-,-,[....#.#6..],-,-,-,-,-,TYRain_1900-1909_24_pt1-194,-,-,-
CAERWNON-BUILTH,CAERWNON-BUILTH,LEFTOVER,Wales,Radnorshire,2 sheets : NGR is Caerwnon. Altitudes match.,SO 014543,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.178&lon=-3.443&layers=6&b=1&marker=52.178,-3.443",-3.443,52.178,530,,69,0,5,1896/01,1901/09,6,100.0,95.8,0.14,1896/05,7.2,1896/09,30.49,1896,40.45,1900,35.3,31.1,35.8,39.4,[.|.........*|*.....],[#####9],-,-,-,-,-,-,-,-,-,[......####],[#9........],-,-,-,-,-,TYRain_1890-1899_20_pt1-006,TYRain_1900-1909_25_pt1-158,-,-
CAHIR-MOUNTAIN-GAUGE,CAHIR-MOUNTAIN-GAUGE,LEFTOVER,Ireland/Republic of Ireland,Tipperary,1 sheet : observer RW Smith jn for RMS : Not researched/Original transcription grid reference IR8993723779,-,,,,1577,,8,0,0,1907/08,1908/09,2,57.1,33.3,1.33,1907/09,9.8,1907/10,,,,,,,,,[.|..........|*.....],[44],-,-,-,-,-,-,-,-,-,-,[.......44.],-,-,-,-,-,TYRain_1900-1909_31_pt1-078,-,-,-
CAIRNFIELD-PATHHEAD,CAIRNFIELD-PATHHEAD,LEFTOVER,Scotland,Banffshire,1 sheet : observer W. Hendry Esq.,NJ 4165961363,"https://maps.nls.uk/geo/explore/#zoom=16&lat=57.638&lon=-2.979&layers=6&b=1&marker=57.638,-2.979",-2.979,57.638,445,,24,0,2,1922/01,1923/12,2,100.0,100.0,0.83,1923/03,5.4,1923/11,26.45,1922,35.58,1923,31.0,27.4,31.0,34.7,[.|..........|..*...],[##],-,-,-,-,-,-,-,-,-,-,-,-,[..##.......],-,-,-,TYRain_1920-1930_33_pt1-078,-,-,-
CAISTOR-GRAMMAR-SCHOOL,CAISTOR-GRAMMAR-SCHOOL,LEFTOVER,England,Lincolnshire,1 sheet : observer A.Roebuck,TA 116013,"https://maps.nls.uk/geo/explore/#zoom=16&lat=53.497&lon=-0.319&layers=6&b=1&marker=53.497,-0.319",-0.319,53.497,300,,31,0,2,1911/01,1913/07,3,100.0,86.1,0.17,1912/04,4.84,1912/06,25.5,1911,32.64,1912,29.1,26.2,29.1,31.9,[.|..........|.*....],[##7],-,-,-,-,-,-,-,-,-,-,-,[.##7......],-,-,-,-,TYRain_1910-1919_16_pt1-100,-,-,-
CALBOURNE-RECTORY,CALBOURNE-RECTORY,LEFTOVER,England,Isle of Wight,1 sheet : observer Rev Tugwell,SZ 424865,"https://maps.nls.uk/geo/explore/#zoom=16&lat=50.677&lon=-1.401&layers=6&b=1&marker=50.677,-1.401",-1.401,50.677,,,12,0,1,1915/01,1915/12,1,100.0,100.0,0.55,1915/06,9.82,1915/12,43.2,1915,43.2,1915,43.2,43.2,43.2,43.2,[.|..........|.*....],[#],-,-,-,-,-,-,-,-,-,-,-,[.....#....],-,-,-,-,TYRain_1910-1919_05_pt1-013,-,-,-
CALBOURNE-SWAINSTON,CALBOURNE-SWAINSTON,LEFTOVER,England,Isle of Wight,1 sheet : observer Simeon : Swainstone?,SZ 441878,"https://maps.nls.uk/geo/explore/#zoom=16&lat=50.688&lon=-1.377&layers=6&b=1&marker=50.688,-1.377",-1.377,50.688,,,32,0,2,1914/05,1916/12,3,100.0,88.9,0.56,1916/04,10.87,1914/12,34.71,1916,44.19,1915,39.5,35.7,39.5,43.2,[.|..........|.*....],[8##],-,-,-,-,-,-,-,-,-,-,-,[....8##...],-,-,-,-,TYRain_1910-1919_05_pt1-014,-,-,-
CALDER-BRIDGE-COTTAGES,CALDER-BRIDGE-COTTAGES,LEFTOVER,England,Lancashire,"1 sheet : Edwin Curwen, 50' St Thomas Garstang 1.25 mile; Garstang and Calder Bridge nowhere near each other.",-,,,,50,,36,0,3,1917/01,1919/12,3,100.0,100.0,1.13,1918/04,8.99,1918/09,35.87,1919,47.34,1918,40.6,36.4,38.6,45.6,[.|..........|.*....],[###],-,-,-,-,-,-,-,-,-,-,-,[.......###],-,-,-,-,TYRain_1910-1919_18_pt1-280,-,-,-
CALDER-GLEN,CALDER-GLEN,LEFTOVER,Scotland,Renfrewshire,1 sheet : Unable to trace,-,,,,,,1,0,4,1906/01,1909/12,4,2.1,2.1,9.24,1909/12,9.24,1909/12,60.68,1906,68.15,1907,64.5,61.5,64.5,67.4,[.|..........|*.....],[TTT1],-,-,-,-,-,-,-,-,-,-,[......TTT1],-,-,-,-,-,TYRain_1900-1909_28_pt1-054,-,-,-
CALDRA,CALDRA,LEFTOVER,Scotland,Berwickshire,1 sheet : farm 670',NT 702571,"https://maps.nls.uk/geo/explore/#zoom=16&lat=55.806&lon=-2.477&layers=10&b=1&marker=55.806,-2.477",-2.477,55.806,670,,12,0,1,1931/01,1931/12,1,100.0,100.0,0.69,1931/12,4.85,1931/07,29.98,1931,29.98,1931,30.0,30.0,30.0,30.0,[.|..........|...*..],[#],-,-,-,-,-,-,-,-,-,-,-,-,-,[#.........],-,-,TYRain_1931-1940_24_pt1-042,-,-,-
CALLANDER-DUILATUR,CALLANDER-DUILATUR,LEFTOVER,Scotland,Perthshire,1 sheet : observer Sir James R.Wilson : OS Name Dullater but Duilatur used in BR,NN 601063,"https://maps.nls.uk/geo/explore/#zoom=16&lat=56.229&lon=-4.258&layers=193&b=1&marker=56.229,-4.258",-4.258,56.229,310,[5511/5],60,0,4,1955/05,1960/04,6,100.0,83.3,1.05,1955/07,11.06,1959/12,53.54,1956,63.66,1957,58.1,54.0,57.5,62.5,[.|..........|.....*],[8####4],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[....8####4],TYRain_1951-1960_28_pt1-048,-,-,-
CALLINGTON,CALLINGTON,LEFTOVER,England,Cornwall,1 sheet,-,,,,,[1944/5],36,0,3,1932/01,1934/12,3,100.0,100.0,0.0,1932/02,17.21,1934/12,37.14,1933,50.07,1932,44.1,38.7,45.0,49.1,[.|..........|...*..],[###],-,-,-,-,-,-,-,-,-,-,-,-,-,[.###......],-,-,TYRain_1931-1940_12_pt1-070,-,-,-
CALLINGTON-COUNTY-SCHOOL,CALLINGTON-COUNTY-SCHOOL,LEFTOVER,England,Cornwall,1 sheet,-,,,,,,24,0,2,1912/01,1913/12,2,100.0,100.0,0.18,1913/07,11.32,1912/08,50.62,1913,60.19,1912,55.4,51.6,55.4,59.2,[.|..........|.*....],[##],-,-,-,-,-,-,-,-,-,-,-,[..##......],-,-,-,-,TYRain_1910-1919_12_pt1-274,-,-,-
CALNE-CALSTONE-RECTORY,CALNE-CALSTONE-RECTORY,LEFTOVER,England,Wiltshire,2 sheets,SU 027683,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.414&lon=-1.963&layers=6&b=1&marker=51.414,-1.963",-1.963,51.414,,,33,0,2,1899/01,1901/09,3,100.0,91.7,0.55,1899/03,5.23,1900/02,31.38,1899,31.81,1900,31.6,31.4,31.6,31.8,[.|.........*|*.....],[##9],-,-,-,-,-,-,-,-,-,[.........#],[#9........],-,-,-,-,-,TYRain_1890-1899_09_pt1-016,TYRain_1900-1909_10_pt1-181,-,-
CAMBERLEY-PEMBROKE-LODGE,CAMBERLEY-PEMBROKE-LODGE,LEFTOVER,England,Surrey,"1 sheet : NGR is modern Pembroke House, which has the stated relationship to the station but not church. Stated altitude 50 ft. too high, OS figure used. Gauge moved 1.5 miles in Jan 1915 to Springfield Lodge at TQ897601. Therefore two locations of 3 years and 3 years",SU 874604,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.336&lon=-0.747&layers=6&b=1&marker=51.336,-0.747",-0.747,51.336,250,,81,0,6,1912/01,1918/09,7,100.0,96.4,0.03,1912/04,8.06,1914/12,24.5,1913,36.38,1912,30.6,25.6,29.9,36.3,[.|..........|.*....],[######9],-,-,-,-,-,-,-,-,-,-,-,[..######9.],-,-,-,-,TYRain_1910-1919_2B_pt2-093,-,-,-
CAMBERLEY-PORTESBURY-HILL,CAMBERLEY-PORTESBURY-HILL,LEFTOVER,England,Surrey,1 sheet,SU 880608,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.339&lon=-0.738&layers=6&b=1&marker=51.339,-0.738",-0.738,51.339,,,24,0,2,1906/01,1908/12,2,66.7,100.0,0.48,1906/07,5.22,1906/10,24.88,1908,26.71,1906,25.8,25.1,25.8,26.5,[.|..........|*.....],[#.#],-,-,-,-,-,-,-,-,-,-,[......#.#.],-,-,-,-,-,TYRain_1900-1909_01_pt1-272,-,-,-
CAMBERWELL,CAMBERWELL,LEFTOVER,England,Surrey,1 sheet,-,,,,,,45,0,3,1782/01,1785/09,4,100.0,93.8,0.25,1782/08,12.92,1785/01,23.45,1783,29.61,1782,26.2,23.8,25.4,28.8,[*|..........|......],[###9],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TYRain_1677-1886_A_pt1-031,-,-,-
CAMBERWELL-EAST-DULWICH-GROVE-VALE,CAMBERWELL-EAST-DULWICH-GROVE-VALE,LEFTOVER,England,London County,1 sheet,TQ 337753,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.461&lon=-0.077&layers=6&b=1&marker=51.461,-0.077",-0.077,51.461,,,49,0,4,1905/01,1909/01,5,100.0,81.7,0.38,1906/07,4.4,1905/06,15.0,1907,18.5,1905,17.6,16.0,18.5,18.5,[.|..........|*.....],[####1],-,-,-,-,-,-,-,-,-,-,[.....####1],-,-,-,-,-,TYRain_1900-1909_01_pt1-025,-,-,-
CAMBERWELL-SURREY,CAMBERWELL-SURREY,LEFTOVER,England,Surrey,1 sheet,-,,,,,,12,0,1,1861/01,1861/12,1,100.0,100.0,0.27,1861/01,3.1,1861/11,16.35,1861,16.35,1861,16.4,16.4,16.4,16.4,[.|......*...|......],[#],-,-,-,-,-,-,[.#........],-,-,-,-,-,-,-,-,-,TYRain_1860-1869_01_pt1-015,-,-,-
CAMBERWELL-TOWN-HALL,CAMBERWELL-TOWN-HALL,LEFTOVER,England,London County,1 sheet : Now university accommdation,TQ 332767,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.474&lon=-0.083&layers=6&b=1&marker=51.474,-0.083",-0.083,51.474,,,48,0,4,1905/01,1908/12,4,100.0,100.0,0.18,1907/01,3.14,1905/06,14.24,1907,17.39,1905,15.7,14.2,15.6,17.2,[.|..........|*.....],[####],-,-,-,-,-,-,-,-,-,-,[.....####.],-,-,-,-,-,TYRain_1900-1909_01_pt1-027,-,-,-
CAMBORNE-CROWAN,CAMBORNE-CROWAN,LEFTOVER,England,Cornwall,1 sheet,-,,,,,,24,0,2,1881/01,1882/12,2,100.0,100.0,0.91,1881/05,11.9,1882/12,46.31,1881,60.17,1882,53.2,47.7,53.2,58.8,[.|........*.|......],[##],-,-,-,-,-,-,-,-,[.##.......],-,-,-,-,-,-,-,TYRain_1880-1889_06_pt1-006,-,-,-
CAMBRIDGE-BEACONSFIELD-VILLA,CAMBRIDGE-BEACONSFIELD-VILLA,LEFTOVER,England,Cambridgeshire,1 sheet : observer Lax,TL 462578,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.199&lon=0.138&layers=6&b=1&marker=52.199,0.138",0.138,52.199,40,,19,0,1,1883/01,1884/07,2,100.0,79.2,0.56,1884/03,6.22,1883/06,25.37,1883,25.37,1883,25.4,25.4,25.4,25.4,[.|........*.|......],[#7],-,-,-,-,-,-,-,-,[...#7.....],-,-,-,-,-,-,-,TYRain_1880-1889_04_pt4-037,-,-,-
CAMBRIDGE-BROOK-HOUSE,CAMBRIDGE-BROOK-HOUSE,LEFTOVER,England,Cambridgeshire,1 sheet : observer Warren,TL 451578,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.199&lon=0.122&layers=6&b=1&marker=52.199,0.122",0.122,52.199,40,,30,0,2,1866/01,1868/06,3,100.0,83.3,0.41,1868/05,3.1,1867/07,22.42,1866,23.56,1867,23.0,22.5,23.0,23.4,[.|......*...|......],[##6],-,-,-,-,-,-,[......##6.],-,-,-,-,-,-,-,-,-,TYRain_1860-1869_02_pt2-030,-,-,-
CAMBRIDGE-CAVENDISH-AVENUE,CAMBRIDGE-CAVENDISH-AVENUE,LEFTOVER,England,Cambridgeshire,1 sheet : observer Hankins,TL 466562,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.185&lon=0.143&layers=6&b=1&marker=52.185,0.143",0.143,52.185,,,12,0,1,1914/01,1914/12,1,100.0,100.0,0.75,1914/04,5.73,1914/12,24.64,1914,24.64,1914,24.6,24.6,24.6,24.6,[.|..........|.*....],[#],-,-,-,-,-,-,-,-,-,-,-,[....#.....],-,-,-,-,TYRain_1910-1919_08_pt1-219,-,-,-
CAMBRIDGE-CHESTERTON,CAMBRIDGE-CHESTERTON,LEFTOVER,England,Cambridgeshire,1 sheet,TL 440599,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.219&lon=0.107&layers=6&b=1&marker=52.219,0.107",0.107,52.219,,,51,0,4,1905/01,1909/12,5,85.0,85.0,0.55,1909/11,3.96,1909/10,19.24,1908,22.17,1906,20.7,19.5,20.8,21.9,[.|..........|*.....],[####3],-,-,-,-,-,-,-,-,-,-,[.....####3],-,-,-,-,-,TYRain_1900-1909_08_pt1-205,-,-,-
CAMBRIDGE-GRAVEL-HILL,CAMBRIDGE-GRAVEL-HILL,LEFTOVER,England,Cambridgeshire,1 sheet,TL 431594,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.214&lon=0.093&layers=6&b=1&marker=52.214,0.093",0.093,52.214,,,7,0,0,1922/06,1922/12,1,100.0,58.3,0.43,1922/10,4.83,1922/07,,,,,,,,,[.|..........|..*...],[7],-,-,-,-,-,-,-,-,-,-,-,-,[..7........],-,-,-,TYRain_1920-1930_08_pt1-105,-,-,-
CAMBRIDGE-GUILDHALL,CAMBRIDGE-GUILDHALL,LEFTOVER,England,Cambridgeshire,1 sheet,TL 449584,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.205&lon=0.119&layers=6&b=1&marker=52.205,0.119",0.119,52.205,,,0,0,0,,,0,0.0,0.0,,,,,,,,,,,,,[.|..........|......],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TYRain_1931-1940_08_pt1-091,-,-,-
CAMBRIDGE-HOLM-LEIGH,CAMBRIDGE-HOLM-LEIGH,LEFTOVER,England,Cambridgeshire,1 sheet,TL 442580,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.201&lon=0.109&layers=6&b=1&marker=52.201,0.109",0.109,52.201,,,21,0,1,1897/01,1898/09,2,100.0,87.5,0.15,1898/09,3.33,1897/08,20.92,1897,20.92,1897,20.9,20.9,20.9,20.9,[.|.........*|......],[#9],-,-,-,-,-,-,-,-,-,[.......#9.],-,-,-,-,-,-,TYRain_1890-1899_07_pt1-038,-,-,-
CAMBRIDGE-SHIRE-HALL,CAMBRIDGE-SHIRE-HALL,LEFTOVER,England,Cambridgeshire,1 sheet,TL 444592,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.212&lon=0.112&layers=6&b=1&marker=52.212,0.112",0.112,52.212,,,0,0,0,,,0,0.0,0.0,,,,,,,,,,,,,[.|..........|......],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TYRain_1931-1940_08_pt1-094,-,-,-
CAMBRIDGE-TRUMPINGTON-CAMBRIDGE-ROAD,CAMBRIDGE-TRUMPINGTON-CAMBRIDGE-ROAD,LEFTOVER,England,Cambridgeshire,1 sheet : observer Cook,TL 441537,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.163&lon=0.105&layers=6&b=1&marker=52.163,0.105",0.105,52.163,56,[1195/1],0,0,0,,,0,0.0,0.0,,,,,,,,,,,,,[.|..........|......],,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,TYRain_1941-1950_09_pt1-082,-,-,-
CAMDEN-ROAD-OBS-SWAINSON,CAMDEN-ROAD-OBS-SWAINSON,LEFTOVER,England,Middlesex,1 sheet,-,,,,,,29,0,2,1876/09,1879/01,4,100.0,60.4,0.44,1877/06,6.79,1878/08,28.97,1877,32.93,1878,30.9,29.4,30.9,32.5,[.|.......*..|......],[4##1],-,-,-,-,-,-,-,[......4##1],-,-,-,-,-,-,-,-,TYRain_1870-1879_01_pt1-018,-,-,-
CAMDEN-ROAD-OBS-TRIPP,CAMDEN-ROAD-OBS-TRIPP,LEFTOVER,England,Middlesex,1 sheet,-,,,,,,5,0,0,1888/01,1888/05,1,100.0,41.7,0.64,1888/02,3.16,1888/03,,,,,,,,,[.|........*.|......],[5],-,-,-,-,-,-,-,-,[........5.],-,-,-,-,-,-,-,TYRain_1880-1889_01_pt1-068,-,-,-
CAMDEN-TOWN-ROCHESTER-SQUARE,CAMDEN-TOWN-ROCHESTER-SQUARE,LEFTOVER,England,Middlesex,2 sheets : NGR is middle of Rochester Sq. Altitude from OS map. NGR could be +/- 100m,TQ 294843,"https://maps.nls.uk/geo/explore/#zoom=16&lat=51.543&lon=-0.135&layers=6&b=1&marker=51.543,-0.135",-0.135,51.543,100,,84,0,7,1869/01,1876/12,7,87.5,100.0,0.44,1870/04,5.9,1876/12,19.5,1874,33.82,1872,25.2,20.1,24.7,31.3,[.|......**..|......],[##.#####],-,-,-,-,-,-,[.........#],[#.#####...],-,-,-,-,-,-,-,-,TYRain_1860-1869_01_pt1-033,TYRain_1870-1879_01_pt1-009,-,-
CAME-RECTORY-WINTERBORNE-CAME,CAME-RECTORY-WINTERBORNE-CAME,LEFTOVER,England,Dorset,1 sheet,-,,,,,,10,0,0,1916/01,1917/10,2,45.5,41.7,1.39,1916/07,5.77,1916/02,,,,,,,,,[.|..........|.*....],[64],-,-,-,-,-,-,-,-,-,-,-,[......64..],-,-,-,-,TYRain_1910-1919_11_pt1-051,-,-,-
CAMELFORD,CAMELFORD,LEFTOVER,England,Cornwall,1 sheet : observer Rev Gb Gibbons : rejected 11in low,-,,,,,,41,0,3,1880/10,1884/02,5,100.0,68.3,1.15,1881/09,10.06,1882/12,53.04,1881,73.3,1882,61.4,54.0,57.8,70.2,[.|........*.|......],[3###2],-,-,-,-,-,-,-,-,[3###2.....],-,-,-,-,-,-,-,TYRain_1880-1889_06_pt1-017,-,-,-
CAMELFORD-ROUGHTOR,CAMELFORD-ROUGHTOR,LEFTOVER,England,Cornwall,2 sheets : observer A W Patton : Roughtor View?,SX 131825,"https://maps.nls.uk/geo/explore/#zoom=16&lat=50.612&lon=-4.643&layers=10&b=1&marker=50.612,-4.643",-4.643,50.612,,[1892],60,0,5,1930/01,1934/12,5,100.0,100.0,0.1,1932/02,14.75,1932/10,46.49,1933,73.06,1930,62.3,49.3,67.1,72.5,[.|..........|..**..],[#####],-,-,-,-,-,-,-,-,-,-,-,-,[..........#],[####......],-,-,TYRain_1920-1930_12_pt1-037,TYRain_1931-1940_11_pt1-304,-,-
CAMMAES-MACHYNLLETH,CAMMAES-MACHYNLLETH,LEFTOVER,Wales,Montgomeryshire,1 sheet : NGR is in Cemmaes at right altitude. Could be +/- 500n,SH 840059,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.638&lon=-3.716&layers=193&b=1&marker=52.638,-3.716",-3.716,52.638,170,[4244/3/8],12,0,1,1952/01,1952/12,1,100.0,100.0,2.57,1952/04,7.06,1952/01,52.02,1952,52.02,1952,52.0,52.0,52.0,52.0,[.|..........|.....*],[#],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[.#........],TYRain_1951-1960_24_pt1-007,-,-,-
CAMPSALL,CAMPSALL,LEFTOVER,England,Yorkshire West Riding,1 sheet,-,,,,,,0,0,1,1879/01,1879/12,1,0.0,0.0,,,,,29.12,1879,29.12,1879,29.1,29.1,29.1,29.1,[.|.......*..|......],[T],-,-,-,-,-,-,-,[.........T],-,-,-,-,-,-,-,-,TYRain_1870-1879_08_pt1-066,-,-,-
CAMPSEA-ASH,CAMPSEA-ASH,LEFTOVER,England,Suffolk,1 sheet,TM 332541,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.136&lon=1.406&layers=6&b=1&marker=52.136,1.406",1.406,52.136,,,12,0,1,1907/01,1907/12,1,100.0,100.0,0.75,1907/09,3.14,1907/04,22.06,1907,22.06,1907,22.1,22.1,22.1,22.1,[.|..........|*.....],[#],-,-,-,-,-,-,-,-,-,-,[.......#..],-,-,-,-,-,TYRain_1900-1909_09_pt1-186,-,-,-
CAN-OFFICE-DOLANOG,CAN-OFFICE-DOLANOG,LEFTOVER,Wales,Montgomeryshire,"1 sheet : NGR is Dolanog, could be +/-several km",SJ 0612,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.7&lon=-3.39&layers=6&b=1&marker=52.7,-3.39",-3.390,52.700,,,18,0,1,1885/07,1887/12,2,60.0,75.0,0.87,1885/12,7.15,1885/10,26.39,1887,26.39,1887,26.4,26.4,26.4,26.4,[.|........*.|......],[6.#],-,-,-,-,-,-,-,-,[.....6.#..],-,-,-,-,-,-,-,TYRain_1880-1889_13_pt1-189,-,-,-
CAN-OFFICE-LLANERFYL/1,CAN-OFFICE-LLANERFYL,LEFTOVER,Wales,Montgomeryshire,1 sheet : NGR is Cann Office near Llanerfyl. Altitude is from OS map.,SJ 012107,"https://maps.nls.uk/geo/explore/#zoom=16&lat=52.685&lon=-3.463&layers=6&b=1&marker=52.685,-3.463",-3.463,52.685,675,,6,0,0,1885/07,1885/12,1,100.0,50.0,2.3,1885/12,7.15,1885/09,,,,,,,,,[.|........*.|......],[6],-,-,-,-,-,-,-,-,[.....6....],-,-,-,-,-,-,-,TYRain_1880-1889_13_pt1-181,-,-,-
